time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot
1582045200,78.9,79.1075,78.805,79.06,748236,638050.4,29.723796961515617,39.495908989031484,NaN,NaN,50
1582047000,79.075,79.3,79.075,79.2675,446204,619730.8,33.78433038221834,38.401588368244084,NaN,NaN,50
1582048800,79.27,79.5475,79.27,79.4275,436240,605098.6,36.815910812087786,37.64926670424733,NaN,NaN,50
1582050600,79.42625,79.545,79.3475,79.525,316888,590017.6,38.658926401422434,36.97333545060387,NaN,NaN,50
1582052400,79.525,79.795,79.4,79.7875,388288,581786.6,43.442179078248245,36.74023445587097,NaN,NaN,50
1582054200,79.7825,79.9325,79.7175,79.825,492816,591848.8,44.11263804577772,36.53934961540134,NaN,NaN,50
1582056000,79.8225,79.9225,79.7125,79.8,426100,599149,43.7403702951565,36.13556431142796,NaN,NaN,50
1582057800,79.7975,79.82,79.5825,79.7475,905452,625597.8,42.92121106292613,36.03382106708569,NaN,NaN,50
1582122600,80.03,80.745,80.0075,80.6825,978408,659372,58.005255651644504,36.40170223875239,NaN,NaN,50
1582124400,80.6775,80.8225,80.495,80.79,661028,664246.6,59.335822168076426,38.71754571154998,NaN,NaN,50
1582126200,80.8175,80.905,80.7075,80.89,552084,677367.6,60.586827782110866,41.27360480705327,NaN,NaN,50
1582128000,80.8925,81.14,80.88,81.035,563916,680987.2,62.39343449934829,43.52027463170564,NaN,NaN,50
1582129800,81.03,81.1075,80.945,80.9875,446288,683542.4,61.40053638588877,45.81931273135037,NaN,NaN,50
1582131600,80.9875,81.075,80.9,80.985,423648,683041.6,61.34520424268131,48.30474598350738,NaN,NaN,50
1582133400,80.99,81.135,80.9775,81.1,280412,640783.8,62.99710351922181,50.68141073762926,NaN,NaN,50
1582135200,81.1075,81.1075,80.9675,81.0525,229684,558499,61.821926826607736,52.68409619794278,NaN,NaN,50
1582137000,81.0525,81.055,80.9125,80.98,243164,524318.4,59.982690196880455,54.3388661539994,NaN,NaN,50
1582138800,80.985,81.045,80.915,80.9875,301652,502904.2,60.11488484141573,55.87143461399892,NaN,NaN,50
1582140600,80.9875,81.075,80.9825,81,366368,493143.4,60.34997953182819,57.079134646397485,NaN,NaN,50
1582142400,81,81.04,80.8475,80.915,464544,483571,57.852798991175625,58.06057471392591,NaN,NaN,50
1582144200,80.9075,80.985,80.7325,80.91,1135500,502934.2,57.7015487600288,59.05780174713107,NaN,NaN,50
1582209000,80.65,81.1625,80.645,81.0925,627416,511994.8,61.64331022406908,60.395094544355565,NaN,NaN,50
1582210800,81.0975,81.135,80.735,80.8475,599340,520149.8,54.324365979443556,60.13217385348407,NaN,NaN,50
1582212600,80.845,81.01,80.67,80.7,472752,527943,50.44142779157207,59.496859969448046,NaN,NaN,50
1582214400,80.6925,80.71,80.13,80.1775,800924,548574.8,39.6341890571574,58.00024291766565,NaN,NaN,50
1582216200,80.1575,80.2325,79.57,79.99,815612,564714.6,36.60344671308931,56.15810093293287,NaN,NaN,50
1582218000,79.9625,80.0175,79.6875,79.7975,591452,572982.2,33.75001698849229,54.18306383311883,NaN,NaN,50
1582219800,79.7975,80.0725,79.655,80.065,499964,552707.8,40.67131654398125,52.70635756892597,NaN,NaN,50
1582221600,80.04,80.26,79.92,80.07,440008,525787.8,40.79582106980802,51.12055167968213,NaN,NaN,50
1582223400,80.08,80.1625,79.875,79.9275,224708,503971.8,38.327185942215245,49.44235590222552,NaN,NaN,50
1582225200,79.9475,80.2425,79.945,80.0075,329836,492859.4,40.503842697240394,48.05100965225123,NaN,NaN,50
1582227000,79.9975,80.2925,79.98,80.1,417548,485541,43.0084689979142,46.82912280628683,NaN,NaN,50
1582228800,80.11,80.1525,79.9275,80.055,365612,481507.2,42.0803810181152,45.52415148387877,NaN,NaN,50
