time,open,high,low,close,Volume,Volume MA,OnBalanceVolume,Smoothing Line,ADX,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot
1644613200,1.13416,1.1352,1.13404,1.13493,650,3949.2,-199572,-202726.4,29.320316321050793,35.64750394718354,41.558771475969586,NaN,NaN,50
1644615000,1.13493,1.13507,1.13448,1.13472,604,3907.5,-200176,-202279.2,30.896179976526263,34.94994907620193,40.95177821340589,NaN,NaN,50
1644789600,1.13472,1.13472,1.13392,1.13427,4998,4033.3,-205174,-201658.2,32.610392469318086,33.439896472245266,39.64911302892062,NaN,NaN,50
1644791400,1.13427,1.13486,1.13416,1.13434,983,3977.9,-204191,-201867,33.99104532808296,33.918193460349244,38.315884253753424,NaN,NaN,50
1644793200,1.13434,1.136,1.1343,1.136,2942,3984.75,-201249,-202072.4,33.71739432509929,44.16492768154984,37.70094019420109,NaN,NaN,50
1644795000,1.136,1.13672,1.13578,1.13646,1289,3901.7,-199960,-202150,32.6373709682597,46.63437405408343,37.14939005898703,NaN,NaN,50
1644796800,1.13646,1.13692,1.13591,1.13636,2246,3872,-202206,-202556,31.41519871942417,46.15645775756602,36.79425274044805,NaN,NaN,50
1644798600,1.13636,1.13638,1.13594,1.13626,1433,3698.55,-203639,-202249,30.28032448836261,45.652613840747065,36.61771146801458,NaN,NaN,50
1644800400,1.13626,1.1365,1.1358,1.1358,2356,3579.15,-205995,-202609.8,29.350707868374958,43.310544717537226,36.450045359555816,NaN,NaN,50
1644802200,1.1358,1.13598,1.13522,1.13536,2632,3519.25,-208627,-204085.4,28.98454302231533,41.13663096811122,37.43388173233137,NaN,NaN,50
1644804000,1.13536,1.13537,1.13406,1.13428,2252,3477.7,-210879,-206269.2,29.47467214786804,36.31797372094768,37.691950043969726,NaN,NaN,50
1644805800,1.13428,1.13474,1.13418,1.13433,2475,3496.3,-208404,-207508.8,29.929792050166988,36.68773048641228,38.44636536448098,NaN,NaN,50
1644807600,1.13433,1.13484,1.13426,1.13436,1981,3514.7,-206423,-208065.6,30.20585806851287,36.92437516912528,38.992628244973616,NaN,NaN,50
1644809400,1.13436,1.13456,1.13412,1.13432,2011,3548.6,-208434,-208553.4,30.567486406877492,36.72725965178591,39.40488792884613,NaN,NaN,50
1644811200,1.13432,1.1347,1.13412,1.13469,1498,3566.4,-206936,-208215.2,30.677053794269888,39.92209761409595,39.71021604791131,NaN,NaN,50
1644813000,1.13469,1.13487,1.13448,1.13454,1711,3034.35,-208647,-207768.8,30.4984654677334,39.06100507893211,40.00386290524917,NaN,NaN,50
1644814800,1.13454,1.13482,1.1342,1.13477,1615,2380,-207032,-207494.4,30.58944611460333,41.15682437694237,40.55507204129896,NaN,NaN,50
1644816600,1.13477,1.13524,1.13473,1.13516,1133,2143.3,-205899,-207389.6,29.969753442964247,44.6339738168951,41.32048492390938,NaN,NaN,50
1644818400,1.13516,1.13522,1.13442,1.13484,1543,1963.85,-207442,-207191.2,29.707393878411576,42.41905265063351,41.195779564558215,NaN,NaN,50
1644820200,1.13484,1.13486,1.13388,1.13444,1958,1915.5,-209400,-207684,29.965297503920034,39.76282870382811,40.70495489668284,NaN,NaN,50
1644822000,1.13444,1.13493,1.13375,1.13476,4066,2086.3,-205334,-207021.4,30.31958180483782,42.8461843618761,40.4685067969907,NaN,NaN,50
1644823800,1.13476,1.13498,1.1336,1.13382,4374,2274.8,-209708,-207556.6,30.78372721316111,36.875080933436976,39.84154016075427,NaN,NaN,50
1644825600,1.13382,1.13434,1.13221,1.13224,7806,2415.2,-217514,-209879.6,32.229813906126836,29.446716067828547,38.85126668577508,NaN,NaN,50
1644827400,1.13224,1.1324,1.13038,1.13092,8096,2770.85,-225610,-213513.2,34.41838961695637,24.928579935574945,37.693548754879636,NaN,NaN,50
1644829200,1.13092,1.13186,1.1308,1.13148,5374,2892.45,-220236,-215680.4,36.45063849129808,29.84638465827632,37.23129239326024,NaN,NaN,50
1644831000,1.13148,1.13217,1.131,1.13122,4373,3046.65,-224609,-219535.4,37.8101524675602,28.89979571839021,36.675011338401525,NaN,NaN,50
1644832800,1.13122,1.13141,1.13014,1.13096,4538,3161.25,-229147,-223423.2,39.45196107613173,27.945323018091372,36.03365047047053,NaN,NaN,50
1644834600,1.13096,1.13182,1.13081,1.13137,4264,3302.8,-224883,-224897,40.31351121574307,31.77203977471588,35.67970619353695,NaN,NaN,50
1644836400,1.13137,1.13142,1.13008,1.1303,3004,3335.2,-227887,-225352.4,41.458652761852335,27.64560615222223,34.802813946260265,NaN,NaN,50
1644838200,1.1303,1.13118,1.13008,1.13111,3529,3380.05,-224358,-226176.8,42.521998483239514,34.57304064780318,34.48224505832248,NaN,NaN,50
1644840000,1.13111,1.13112,1.1302,1.13086,4066,3470.75,-228424,-226939.8,43.509390938813326,33.506740727801926,33.9358105119553,NaN,NaN,50
1644841800,1.13086,1.13426,1.13022,1.13272,12378,3965.9,-216046,-224319.6,40.53223964465259,46.68234296999818,34.08212259431981,NaN,NaN,50
1644843600,1.13272,1.13312,1.13128,1.1327,7788,4256.25,-223834,-224109.8,37.76774201436048,46.575473938891335,34.37900982919537,NaN,NaN,50
1644845400,1.1327,1.13294,1.13112,1.13152,9911,4651.25,-233745,-225281.4,35.34228650854703,40.66102550424119,34.44316674351059,NaN,NaN,50
1644847200,1.13152,1.13198,1.131,1.13124,7397,4946.2,-241142,-228638.2,33.2003226874933,39.383037198158824,34.195799088959355,NaN,NaN,50
1644849000,1.13124,1.13212,1.13049,1.13201,9043,5312.8,-232099,-229373.2,31.67387447389039,44.54491049346293,34.74364405753264,NaN,NaN,50
1644850800,1.13201,1.13201,1.13006,1.1304,8361,5650.1,-240460,-234256,30.6248073691893,37.37776347170435,35.31014744352377,NaN,NaN,50
1644852600,1.1304,1.13098,1.12916,1.1306,8804,6033.65,-231656,-235820.4,30.341329397031792,38.697285757499934,36.293626430804125,NaN,NaN,50
1644854400,1.1306,1.13106,1.12961,1.1306,6611,6287.05,-231656,-235402.6,29.978339509738177,38.697285757499934,36.92583365217724,NaN,NaN,50
1644856200,1.1306,1.13144,1.12983,1.13063,6626,6520.45,-225030,-232180.2,29.163540241537245,38.92117819893805,37.641646686502085,NaN,NaN,50
1644858000,1.13063,1.13072,1.12988,1.1306,3230,6478.65,-228260,-231412.4,28.40694092106495,38.768693741082046,38.41474459528713,NaN,NaN,50
