time,open,high,low,close,Volume,Volume MA
1681395600,1.10576,1.10578,1.10474,1.10476,460,704.25
1681395900,1.10476,1.1056,1.10474,1.10536,608,688.5
1681396200,1.10536,1.1058,1.10524,1.1058,676,673.85
1681396500,1.1058,1.10586,1.10494,1.10498,608,654.3
1681396800,1.10498,1.10535,1.10488,1.10488,593,640.7
1681397100,1.10488,1.10498,1.10445,1.10474,558,629.9
1681397400,1.10474,1.10505,1.1045,1.10469,517,629.15
1681397700,1.10469,1.1049,1.10462,1.10471,552,632.05
1681398000,1.10471,1.10518,1.10462,1.10514,602,635.35
1681398300,1.10514,1.10536,1.10503,1.10504,448,636.35
1681398600,1.10504,1.10544,1.10496,1.10518,507,623.9
1681398900,1.10518,1.10544,1.10502,1.10524,378,605.45
1681399200,1.10524,1.10527,1.10494,1.10517,366,586
1681399500,1.10517,1.10548,1.10514,1.10544,315,568.85
1681399800,1.10544,1.10549,1.10522,1.10528,290,545.8
1681400100,1.10528,1.1059,1.10528,1.10572,343,523.55
1681400400,1.10572,1.10594,1.10572,1.1058,350,503.6
1681400700,1.1058,1.10616,1.10574,1.106,355,489.65
1681401000,1.106,1.10602,1.1052,1.10522,392,477.5
1681401300,1.10522,1.1055,1.1052,1.10529,306,461.2
1681401600,1.10529,1.10532,1.10502,1.10514,323,454.35
1681401900,1.10514,1.1052,1.10476,1.1048,286,438.25
1681402200,1.1048,1.10524,1.10476,1.10522,247,416.8
1681402500,1.10522,1.10564,1.10519,1.10548,252,399
1681402800,1.10548,1.10556,1.10539,1.10552,175,378.1
1681403100,1.10552,1.1057,1.10549,1.10559,140,357.2
1681403400,1.10559,1.10559,1.10542,1.10557,126,337.65
1681403700,1.10557,1.10569,1.1053,1.10532,216,320.85
1681404000,1.10532,1.10532,1.10496,1.10507,216,301.55
1681404300,1.10507,1.10512,1.10496,1.10506,131,285.7
1681404600,1.10506,1.1055,1.10506,1.10538,235,272.1
1681404900,1.10538,1.10558,1.10534,1.10558,207,263.55
1681405200,1.10558,1.10568,1.10534,1.10562,313,260.9
1681405500,1.10562,1.10576,1.10554,1.10572,249,257.6
1681405800,1.10572,1.10597,1.10568,1.10578,180,252.1
1681406100,1.10578,1.1058,1.10546,1.10548,302,250.05
1681406400,1.10548,1.10559,1.10524,1.10534,204,242.75
1681406700,1.10534,1.10536,1.10504,1.10506,292,239.6
1681407000,1.10506,1.10532,1.10506,1.10532,223,231.15
1681407300,1.10532,1.10554,1.10526,1.10552,206,226.15
1681407600,1.10552,1.10554,1.10542,1.10546,114,215.7
1681407900,1.10546,1.10558,1.10542,1.10552,103,206.55
1681408200,1.10552,1.10559,1.10542,1.10542,111,199.75
1681408500,1.10542,1.10542,1.10523,1.10527,221,198.2
1681408800,1.10527,1.10528,1.10499,1.10501,188,198.85
1681409100,1.10501,1.10522,1.10501,1.10518,201,201.9
1681409400,1.10518,1.10522,1.1051,1.10513,206,205.9
1681409700,1.10513,1.1053,1.10506,1.10508,268,208.5
1681410000,1.10508,1.10511,1.10481,1.10486,218,208.6
